"replication_id","N","simulator","gcm_null_p","gcm_alt_p","gcm_null_reject","gcm_alt_reject","kci_null_p","kci_alt_p","kci_null_reject","kci_alt_reject","rcot_null_p","rcot_alt_p","rcot_null_reject","rcot_alt_reject","pcor_null_p","pcor_alt_p","pcor_null_reject","pcor_alt_reject","ks_Z1_p","ks_Z2_p","ks_Z3_p","ks_Y_p","delta_Z1_mean_abs","delta_Z2_mean_abs","delta_Z3_mean_abs","delta_Z2_mean_abs_tail","delta_Z3_mean_abs_tail","delta_Z2_mean_abs_mid","delta_Z3_mean_abs_mid"
39,1000,"GAUSS",0.76689529463333,0.00357359161451547,FALSE,TRUE,NA,NA,NA,NA,0.248659691698103,1.6732817223919e-05,FALSE,TRUE,0.753560918932569,0.0131134786045981,FALSE,TRUE,0.370176459620287,0.561755673094419,0.861410644318071,0.819536776838088,NA,NA,NA,NA,NA,NA,NA
40,1000,"GAUSS",0.22905343516159,0.0417503485643797,FALSE,TRUE,NA,NA,NA,NA,0.81536721320068,2.99657849972546e-05,FALSE,TRUE,0.141681135310153,0.483223865095718,FALSE,FALSE,0.98231289728594,0.833611782867801,0.963459381121388,0.946536458483226,NA,NA,NA,NA,NA,NA,NA
41,1000,"GAUSS",0.358568477485213,6.0939224915513e-05,FALSE,TRUE,NA,NA,NA,NA,0.253515210705088,0.000151579554345971,FALSE,TRUE,0.438367654919379,0.00060122872895086,FALSE,TRUE,0.37332706193104,0.0939889361117638,0.0859694489812342,0.202856031312898,NA,NA,NA,NA,NA,NA,NA
42,1000,"GAUSS",0.40788791108567,0.243444432577189,FALSE,FALSE,NA,NA,NA,NA,0.25229658813562,0.00550866748765411,FALSE,TRUE,0.790560262917179,0.163846755999087,FALSE,FALSE,0.387190656801378,0.178855862506815,0.437481741585799,0.378509685571846,NA,NA,NA,NA,NA,NA,NA
43,1000,"GAUSS",0.691017156440214,0.000378432756427326,FALSE,TRUE,NA,NA,NA,NA,0.343839629286382,4.347798753912e-06,FALSE,TRUE,0.127526371864521,0.000108987316169445,FALSE,TRUE,0.00128721812846133,0.0500362823626078,0.100384000301406,0.000972190362388381,NA,NA,NA,NA,NA,NA,NA
44,1000,"GAUSS",0.737638804404768,0.0445627078580207,FALSE,TRUE,NA,NA,NA,NA,0.282741819885849,7.21225610345044e-08,FALSE,TRUE,0.874850261042234,0.0318667990716133,FALSE,TRUE,0.1690738716311,0.315090125069393,0.235133964551464,0.652487103125763,NA,NA,NA,NA,NA,NA,NA
45,1000,"GAUSS",0.380549401123692,0.00540100456460474,FALSE,TRUE,NA,NA,NA,NA,0.255736053529738,6.90863111807438e-06,FALSE,TRUE,0.53195750034741,0.0663154735243791,FALSE,FALSE,0.609000517579429,0.987229397642692,0.800072610770211,0.414487661142434,NA,NA,NA,NA,NA,NA,NA
46,1000,"GAUSS",0.896453930578711,0.277407211214418,FALSE,FALSE,NA,NA,NA,NA,0.916473974217327,0.0131705870316493,FALSE,TRUE,0.976301867212929,0.792946649251187,FALSE,FALSE,0.944965212232483,0.896735269601226,0.934685204586356,0.947251983499052,NA,NA,NA,NA,NA,NA,NA
47,1000,"GAUSS",0.118068673125994,0.000382878139656719,FALSE,TRUE,NA,NA,NA,NA,0.153171265911754,3.04731974987149e-06,FALSE,TRUE,0.492270448493186,0.0446183627541308,FALSE,TRUE,0.237370246854686,0.653487143786845,0.570862200477605,0.42554923831878,NA,NA,NA,NA,NA,NA,NA
48,1000,"GAUSS",0.116434013035957,0.00292160659653653,FALSE,TRUE,NA,NA,NA,NA,0.0726943815826764,6.7573945666366e-05,FALSE,TRUE,0.418754192428538,0.0477651345793452,FALSE,TRUE,0.273488964743778,0.912711567655864,0.897010750069018,0.896496260863411,NA,NA,NA,NA,NA,NA,NA
49,1000,"GAUSS",0.288969720645802,0.000237529910292895,FALSE,TRUE,NA,NA,NA,NA,0.644097500888774,2.22044604925031e-16,FALSE,TRUE,0.939895775490801,0.00351608342536419,FALSE,TRUE,0.283626390737939,0.28103096659566,0.512952061514627,0.350403265733721,NA,NA,NA,NA,NA,NA,NA
50,1000,"GAUSS",0.459295020082628,0.00257262714180447,FALSE,TRUE,NA,NA,NA,NA,0.72314651315409,1.00128404800781e-06,FALSE,TRUE,0.0887784925643411,0.0555126713018163,FALSE,FALSE,0.433295109118458,0.66901377163705,0.619961242999778,0.456238576686236,NA,NA,NA,NA,NA,NA,NA
51,1000,"GAUSS",0.313577419263972,0.0131185170081205,FALSE,TRUE,NA,NA,NA,NA,0.688349251277579,8.59458170521243e-07,FALSE,TRUE,0.582638080866278,0.146034650207257,FALSE,FALSE,0.163134856239851,0.604801290023334,0.777240978115412,0.948990302571874,NA,NA,NA,NA,NA,NA,NA
