"replication_id","N","simulator","gcm_null_p","gcm_alt_p","gcm_null_reject","gcm_alt_reject","kci_null_p","kci_alt_p","kci_null_reject","kci_alt_reject","rcot_null_p","rcot_alt_p","rcot_null_reject","rcot_alt_reject","pcor_null_p","pcor_alt_p","pcor_null_reject","pcor_alt_reject","ks_Z1_p","ks_Z2_p","ks_Z3_p","ks_Y_p","delta_Z1_mean_abs","delta_Z2_mean_abs","delta_Z3_mean_abs","delta_Z2_mean_abs_tail","delta_Z3_mean_abs_tail","delta_Z2_mean_abs_mid","delta_Z3_mean_abs_mid"
99,1000,"BN",0.0762914034255043,0.783194978689917,FALSE,FALSE,NA,NA,NA,NA,0.302853683898895,0.23751059246499,FALSE,FALSE,0.286932250225406,0.16698892777429,FALSE,FALSE,0.0323535371351553,0.633285492181268,0.247695694638953,0.68696629081344,1.07075806554668e-17,0.207055220070471,0.259989242472231,0.172157082584269,0.230837465792824,0.210975922947119,0.263300468776574
100,1000,"BN",0.23049468563195,0.0541561796141044,FALSE,FALSE,NA,NA,NA,NA,0.684195500783668,0.000123282682674919,FALSE,TRUE,0.205592186655153,0.206562740324554,FALSE,FALSE,0.392891296214453,0.734802662857372,0.505181520827099,0.859202023973365,1.15558604352195e-17,0.19939469792626,0.260750292959161,0.126710326338093,0.240430500560745,0.207202432194314,0.263185027322689
101,1000,"BN",0.0148446908808207,0.432639360591976,TRUE,FALSE,NA,NA,NA,NA,0.210323969727257,0.0257279113710985,FALSE,TRUE,0.0335516050664869,0.635306043988432,TRUE,FALSE,0.574099637283601,0.79873232965804,0.712261560302453,0.211379523898,1.28575535635056e-17,0.19428327107053,0.268617561100764,0.118536716540189,0.305741230065485,0.201229461660649,0.265389415973397
102,1000,"BN",0.855748822033475,0.299447661198797,FALSE,FALSE,NA,NA,NA,NA,0.863608816284748,0.0587689525694751,FALSE,FALSE,0.239878177696325,0.193588287046886,FALSE,FALSE,0.237433863924306,0.0227155463503801,0.260689577612792,0.0915532606064973,1.32957880816242e-17,0.206857233966453,0.270258588354398,0.191262240965507,0.259205425929404,0.208456279555304,0.271473086778454
103,1000,"BN",0.847054023945786,0.24336618764313,FALSE,FALSE,NA,NA,NA,NA,0.940426444788532,0.144363980888541,FALSE,FALSE,0.703461915100081,0.965736037463659,FALSE,FALSE,0.0722232994074373,0.0395156763613828,0.0473888296591309,0.488213337609794,1.18678938204608e-17,0.216199871782702,0.268948819594311,0.156318576219005,0.280111497405129,0.222632303310585,0.267555054423331
104,1000,"BN",0.0246706083691334,0.389730342888247,TRUE,FALSE,NA,NA,NA,NA,0.640298024773998,0.00326041918160125,FALSE,TRUE,0.0758334861254551,0.48902612611791,FALSE,FALSE,0.629686419992766,0.68936610652987,0.840051812416264,0.903684367480769,1.1920965516804e-17,0.209096143827654,0.259501397931434,0.144726293886199,0.260406730853289,0.216728363171943,0.259392920190517
105,1000,"BN",0.884436459071129,0.903215319053803,FALSE,FALSE,NA,NA,NA,NA,0.0873659412097859,0.0111782070325447,FALSE,TRUE,0.91921792998259,0.505240948669252,FALSE,FALSE,0.110940946567383,0.147445773012192,0.185990738192081,0.170439363498703,1.3952164076847e-17,0.204791972364419,0.268161410879738,0.189287846096607,0.256931037329548,0.20640056824651,0.269521142206442
106,1000,"BN",0.736820227618237,0.91889252213303,FALSE,FALSE,NA,NA,NA,NA,0.485709905203512,0.0587011727134996,FALSE,FALSE,0.482923664182168,0.093969572124565,FALSE,FALSE,0.527358578422435,0.654770970066055,0.697323724037331,0.185743269871623,1.27356892393182e-17,0.211981315060236,0.263007869379435,0.143718570085969,0.288551583222752,0.21948188304298,0.26035763858333
107,1000,"BN",0.128817838866044,0.0671046649132443,FALSE,FALSE,NA,NA,NA,NA,0.236398146279472,0.00456717180104838,FALSE,TRUE,0.0911602209354835,0.126757092947229,FALSE,FALSE,0.932311962273977,0.0361874001701097,0.0471588822281482,0.849357434413243,1.27708715998154e-17,0.213362535133221,0.263854387280348,0.212415602728695,0.301673356850434,0.213453905803833,0.260022509306287
108,1000,"BN",0.832788375111599,0.358250842818373,FALSE,FALSE,NA,NA,NA,NA,0.382296168827668,0.0355779961825596,FALSE,TRUE,0.172711340396032,0.140835556086589,FALSE,FALSE,0.984580253241973,0.579513825019855,0.322645121360961,0.637443887847391,1.24988791560567e-17,0.213146659645306,0.263546612397444,0.180200520098333,0.324136845277033,0.216929772659061,0.256814364299711
109,1000,"BN",0.828825529393839,0.912207690347132,FALSE,FALSE,NA,NA,NA,NA,0.241075197200671,1.23265597927746e-05,FALSE,TRUE,0.770719133804427,0.933057595139494,FALSE,FALSE,0.271053889107677,0.318994309940408,0.158290367911104,0.191623808755556,1.13450915328883e-17,0.204621997199271,0.261204350866376,0.149141994781187,0.282295592124779,0.211269657063476,0.258703599665715
110,1000,"BN",0.14292895295669,0.507809008759548,FALSE,FALSE,NA,NA,NA,NA,0.232351863964128,0.000671764716554057,FALSE,TRUE,0.337499039315344,0.28863698541905,FALSE,FALSE,0.775806365855582,0.588177838910071,0.403418794444858,0.474802413177938,1.22493161447412e-17,0.203443260452796,0.267146894001287,0.139085831780801,0.294896121936569,0.209730649203408,0.26396052780582
